Pääluokan numero;Pääluokan nimi;Menoluvun numero;Menoluvun nimi;Menomomentin numero;Menomomentin nimi;Menomomentin info-osa;Määräraha;Aiemmin budjetoitu IX lisätalousarvio 2023;Aiemmin budjetoitu VIII lisätalousarvio 2023;Aiemmin budjetoitu VII lisätalousarvio 2023;Aiemmin budjetoitu VI lisätalousarvio 2023;Aiemmin budjetoitu V lisätalousarvio 2023;Aiemmin budjetoitu IV lisätalousarvio 2023;Aiemmin budjetoitu III lisätalousarvio 2023;Aiemmin budjetoitu II lisätalousarvio 2023;Aiemmin budjetoitu I lisätalousarvio 2023;Aiemmin budjetoitu 2023;Toteutuma 2023;Toteutuma 2022
21;"EDUSKUNTA";01;"Kansanedustajat";01;"Kansanedustajien toimintamenot";"";23865000;;;;;;;;;;22743000;;21659248
21;"EDUSKUNTA";10;"Eduskunnan kanslia";01;"Eduskunnan kanslian toimintamenot";"";65140000;;;;;;;;;;61122000;;57111208
21;"EDUSKUNTA";10;"Eduskunnan kanslia";29;"Arvonlisäveromenot";"";6200000;;;;;;;;;;6200000;;5112599
21;"EDUSKUNTA";10;"Eduskunnan kanslia";51;"Avustajatuki eduskuntaryhmille";"";7220000;;;;;;;;;;6270000;;6214578
21;"EDUSKUNTA";10;"Eduskunnan kanslia";70;"Tietohallinnon laitehankinnat ja kehittämishankkeet";"";5000000;;;;;;;;;;5000000;;5000000
21;"EDUSKUNTA";20;"Eduskunnan oikeusasiamies";01;"Eduskunnan oikeusasiamiehen kanslian toimintamenot";"";9455000;;;;;;;;;;8531000;;7985240
21;"EDUSKUNTA";30;"Ulkopoliittinen instituutti";01;"Ulkopoliittisen instituutin toimintamenot";"";4805000;;;;;;;;;;4309000;;4082000
21;"EDUSKUNTA";30;"Ulkopoliittinen instituutti";29;"Arvonlisäveromenot";"";260000;;;;;;;;;;230000;;255280
21;"EDUSKUNTA";40;"Valtiontalouden tarkastusvirasto";01;"Valtiontalouden tarkastusviraston toimintamenot";"";17585000;;;;;;;;;;17062000;;17051000
21;"EDUSKUNTA";40;"Valtiontalouden tarkastusvirasto";29;"Arvonlisäveromenot";"";700000;;;;;;;;;;750000;;438339
21;"EDUSKUNTA";90;"Eduskunnan muut menot";50;"Eduskuntaryhmien ryhmäkanslioiden tukeminen";"";5175000;;;;;;;;;;4880000;;4778530
22;"TASAVALLAN PRESIDENTTI";01;"Tasavallan presidentti";01;"Tasavallan presidentin palkkio";"";126000;;;;;;;;;;126000;;126000
22;"TASAVALLAN PRESIDENTTI";02;"Tasavallan presidentin kanslia";01;"Tasavallan presidentin kanslian toimintamenot";"";8977000;;;;;;;;;;8707000;;8669000
22;"TASAVALLAN PRESIDENTTI";02;"Tasavallan presidentin kanslia";02;"Entisten tasavallan presidenttien menot";"";700000;;;;;;;;;;500000;;62995
22;"TASAVALLAN PRESIDENTTI";02;"Tasavallan presidentin kanslia";20;"Vierailuista ja kokousmatkoista aiheutuvat menot";"";2550000;;;;;;;;;;2550000;;9488
22;"TASAVALLAN PRESIDENTTI";02;"Tasavallan presidentin kanslia";29;"Arvonlisäveromenot";"";10000000;;;;;;;;;;8000000;;2654404
22;"TASAVALLAN PRESIDENTTI";02;"Tasavallan presidentin kanslia";75;"Perusparannukset";"";25000000;;;;;;;;;;20000000;;12000000
23;"VALTIONEUVOSTON KANSLIA";01;"Hallinto";01;"Valtioneuvoston kanslian toimintamenot";"";154198000;;;;;;;;;148000;153189000;;145188000
23;"VALTIONEUVOSTON KANSLIA";01;"Hallinto";02;"Ministereiden, heidän valtiosihteeriensä ja erityisavustajiensa palkkaukset";"";15232000;;;;;;;;;;10366000;;11987688
23;"VALTIONEUVOSTON KANSLIA";01;"Hallinto";03;"Euroopan unionin kansallisten asiantuntijoiden palkkamenot";"";2480000;;;;;;;;;;980000;;985000
23;"VALTIONEUVOSTON KANSLIA";01;"Hallinto";22;"Valtioneuvoston selvitys- ja tutkimustoiminta";"";0;;;;;;;;;;7759000;;8788000
23;"VALTIONEUVOSTON KANSLIA";01;"Hallinto";25;"Terveet tilat 2028";"";500000;;;;;;;;;;500000;;1500000
23;"VALTIONEUVOSTON KANSLIA";01;"Hallinto";27;"Kuurojen totuus- ja sovintoprosessi";"";358000;;;;;;;;;;438000;;
23;"VALTIONEUVOSTON KANSLIA";01;"Hallinto";29;"Arvonlisäveromenot";"";19000000;;;;;;;;;;19000000;;15595714
23;"VALTIONEUVOSTON KANSLIA";10;"Omistajaohjaus";88;"Osakehankinnat";"";5700000;;;;;;;;;;5700000;;441113542
23;"VALTIONEUVOSTON KANSLIA";20;"Poliittisen toiminnan avustaminen";50;"Puoluetoiminnan tukeminen";"";34566000;;;;;;;;;;35635000;;35635000
23;"VALTIONEUVOSTON KANSLIA";30;"Oikeuskanslerinvirasto";01;"Oikeuskanslerinviraston toimintamenot";"";4564000;;;;;;;;;9000;4365000;;3852000
23;"VALTIONEUVOSTON KANSLIA";90;"Muut menot";21;"Kunniamerkit";"";700000;;;;;;;;;;700000;;637288
23;"VALTIONEUVOSTON KANSLIA";90;"Muut menot";66;"Osallistumismaksut ja maksuosuudet Euroopan hybridiuhkien torjunnan osaamiskeskukselle";"";2040000;;;;;;;;;;1860000;;1740000
24;"ULKOMINISTERIÖN HALLINNONALA";01;"Ulkoasiainhallinto";01;"Ulkoasiainhallinnon toimintamenot";"";257647000;;;;;;;;;-270000;258506000;;267222000
24;"ULKOMINISTERIÖN HALLINNONALA";01;"Ulkoasiainhallinto";20;"Tiede- ja kulttuuri-instituuttikiinteistöjen menot";"";1102000;;;;;;;;;;1005000;;3266000
24;"ULKOMINISTERIÖN HALLINNONALA";01;"Ulkoasiainhallinto";29;"Ulkoministeriön hallinnonalan arvonlisäveromenot";"";14220000;;;;;;;;;;14220000;;13833491
24;"ULKOMINISTERIÖN HALLINNONALA";01;"Ulkoasiainhallinto";74;"Talonrakennukset";"";12000000;;;;;;;;;;12500000;;11300000
24;"ULKOMINISTERIÖN HALLINNONALA";10;"Kriisinhallinta";20;"Suomalaisten kriisinhallintajoukkojen ylläpitomenot";"";53080000;;;;;;;;;4420000;50680000;;39611503
24;"ULKOMINISTERIÖN HALLINNONALA";10;"Kriisinhallinta";21;"Siviilihenkilöstön osallistuminen kriisinhallintaan";"";19248000;;;;;;;;;;19248000;;16594838
24;"ULKOMINISTERIÖN HALLINNONALA";10;"Kriisinhallinta";66;"Rauhanvälitys";"";3900000;;;;;;;;;;2500000;;3396615
24;"ULKOMINISTERIÖN HALLINNONALA";30;"Kansainvälinen kehitysyhteistyö";50;"Valtionapu Teollisen yhteistyön rahasto Oy:lle";"";0;;;;;;;;;;0;;0
24;"ULKOMINISTERIÖN HALLINNONALA";30;"Kansainvälinen kehitysyhteistyö";66;"Varsinainen kehitysyhteistyö";"";628586000;;;;;;;;;;713012000;;774505000
24;"ULKOMINISTERIÖN HALLINNONALA";30;"Kansainvälinen kehitysyhteistyö";67;"Demokratia- ja oikeusvaltiotuki";"";2904000;;;;;;;;;;3060000;;3000000
24;"ULKOMINISTERIÖN HALLINNONALA";30;"Kansainvälinen kehitysyhteistyö";69;"Tuki Ukrainalle";"";57821000;;;;;;;;;;;;
24;"ULKOMINISTERIÖN HALLINNONALA";30;"Kansainvälinen kehitysyhteistyö";88;"Finnfundin (Teollisen yhteistyön rahasto Oy) pääoman korottaminen";"";10000000;;;;;;;;;;10000000;;9999910
